1.央视,#genre#
CCTV-9,http://47.104.178.59:3566/673168140
CHC动作电影,http://47.104.178.59:3566/644368714
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC动作电影,http://bztv.tvbus.cc:8081/cdnlive/chcdz.m3u8
CHC动作电影,http://85.121.245.62:1234/644368714
CHC家庭影院,http://47.104.178.59:3566/644368373
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC家庭影院,http://85.121.245.62:1234/644368373
CHC家庭影院,http://bztv.tvbus.cc:8081/cdnlive/chcjt.m3u8
CHC影迷电影,http://47.104.178.59:3566/952383261
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
CHC影迷电影,http://bztv.tvbus.cc:8081/cdnlive/chchd.m3u8
中国天气,http://47.104.178.59:3566/959986621
2.卫视,#genre#
三沙卫视,http://47.104.178.59:3566/961023778
东南卫视,http://222.223.41.27:8888/hls/44/index.m3u8
东南卫视,http://60.10.139.113:8801/hls/21/index.m3u8
东南卫视,http://61.178.227.57:9901/tsfile/live/0137_1.m3u8
东方卫视,http://222.223.41.27:8888/hls/42/index.m3u8
东方卫视,http://222.89.96.36:8001/hls/23/index.m3u8
东方卫视,http://61.178.227.57:9901/tsfile/live/0107_1.m3u8
东方卫视,http://60.10.139.113:8801/hls/22/index.m3u8
云南卫视,http://222.223.41.27:8888/hls/35/index.m3u8
云南卫视,http://61.178.227.57:9901/tsfile/live/0119_1.m3u8
云南卫视,http://222.85.198.92:8000/hls/35/index.m3u8
兵团卫视,http://61.178.227.57:9901/tsfile/live/0115_1.m3u8
兵团卫视,http://47.104.178.59:3566/956923145
内蒙卫视,http://222.223.41.27:8888/hls/49/index.m3u8
内蒙卫视,http://61.178.227.57:9901/tsfile/live/0109_1.m3u8
凤凰中文,http://61.178.227.57:9901/tsfile/live/1013_1.m3u8
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
凤凰资讯,http://218.206.193.218:8888/hls/109/index.m3u8
凤凰资讯,http://61.178.227.57:9901/tsfile/live/1014_1.m3u8
凤凰资讯,http://123.234.2.58:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
凤凰香港,http://123.234.2.58:80/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰香港,http://61.178.227.57:9901/tsfile/live/1012_1.m3u8
凤凰香港,http://cdn6.163189.xyz/163189/fhhk
北京卫视,http://222.223.41.27:8888/hls/31/index.m3u8
北京卫视,http://222.89.96.36:8001/hls/25/index.m3u8
北京卫视,http://61.178.227.57:9901/tsfile/live/0122_1.m3u8
北京卫视,http://60.10.139.113:8801/hls/20/index.m3u8
北京卫视,http://222.85.198.92:8000/hls/29/index.m3u8
北京卫视,http://47.104.178.59:3566/630287636
厦门卫视,http://61.178.227.57:9901/tsfile/live/0129_1.m3u8
吉林卫视,http://222.223.41.27:8888/hls/47/index.m3u8
吉林卫视,http://61.178.227.57:9901/tsfile/live/0116_1.m3u8
吉林卫视,http://60.10.139.113:8801/hls/38/index.m3u8
吉林卫视,http://47.104.178.59:3566/947472500
四川卫视,http://222.223.41.27:8888/hls/37/index.m3u8
四川卫视,http://61.178.227.57:9901/tsfile/live/0123_1.m3u8
四川卫视,http://60.10.139.113:8801/hls/30/index.m3u8
四川卫视,http://222.85.198.92:8000/hls/46/index.m3u8
天津卫视,http://222.223.41.27:8888/hls/32/index.m3u8
天津卫视,http://61.178.227.57:9901/tsfile/live/0135_1.m3u8
天津卫视,http://60.10.139.113:8801/hls/23/index.m3u8
宁夏卫视,http://47.104.178.59:3566/738910535
安徽卫视,http://222.89.96.36:8001/hls/29/index.m3u8
安徽卫视,http://222.223.41.27:8888/hls/30/index.m3u8
安徽卫视,http://61.178.227.57:9901/tsfile/live/0130_1.m3u8
安徽卫视,http://222.85.198.92:8000/hls/20/index.m3u8
安徽卫视,http://60.10.139.113:8801/hls/99/index.m3u8
山东卫视,http://222.89.96.36:8001/hls/28/index.m3u8
山东卫视,http://222.223.41.27:8888/hls/34/index.m3u8
山东卫视,http://61.178.227.57:9901/tsfile/live/0131_1.m3u8
山东卫视,http://60.10.139.113:8801/hls/25/index.m3u8
山东卫视,http://222.85.198.92:8000/hls/43/index.m3u8
山西卫视,http://61.178.227.57:9901/tsfile/live/0118_1.m3u8
广东卫视,http://222.223.41.27:8888/hls/45/index.m3u8
广东卫视,http://222.89.96.36:8001/hls/26/index.m3u8
广东卫视,http://61.178.227.57:9901/tsfile/live/0125_1.m3u8
广东卫视,http://60.10.139.113:8801/hls/26/index.m3u8
广西卫视,http://222.223.41.27:8888/hls/46/index.m3u8
广西卫视,http://60.10.139.113:8801/hls/52/index.m3u8
延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8
旅游卫视,http://61.178.227.57:9901/tsfile/live/0114_1.m3u8
江苏卫视,http://222.223.41.27:8888/hls/29/index.m3u8
江苏卫视,http://222.89.96.36:8001/hls/24/index.m3u8
江苏卫视,http://61.178.227.57:9901/tsfile/live/0127_1.m3u8
江苏卫视,http://60.10.139.113:8801/hls/19/index.m3u8
江苏卫视,http://222.85.198.92:8000/hls/19/index.m3u8
江西卫视,http://222.223.41.27:8888/hls/38/index.m3u8
江西卫视,http://61.178.227.57:9901/tsfile/live/0138_1.m3u8
江西卫视,http://60.10.139.113:8801/hls/37/index.m3u8
江西卫视,http://222.85.198.92:8000/hls/44/index.m3u8
